Epoch,Train Mean Score (blank),Train Std Dev (blank),Test Mean Score (blank),Test Std Dev (blank),Train Mean Score (cues),Train Std Dev (cues),Test Mean Score (cues),Test Std Dev (cues)
1,195,99,75,0,164,104,239,0
2,169,96,435,0,175,96,75,0
3,183,96,75,0,178,100,239,0
4,169,105,75,0,158,96,239,0
5,197,98,239,0,188,96,75,0
6,172,97,239,0,189,99,271,0
7,184,99,239,0,187,100,239,0
8,163,96,75,0,208,95,75,0
9,194,103,75,0,181,97,239,0
10,169,101,75,0,184,107,239,0
11,167,100,239,0,204,105,239,0
12,188,102,239,0,193,99,75,0
13,172,102,239,0,163,113,75,0
14,182,106,75,0,183,114,239,0
15,195,110,75,0,202,101,239,0
16,204,97,239,0,220,103,239,0
17,237,15,239,0,220,89,239,0
18,222,118,239,0,250,105,435,0
19,257,125,239,0,243,133,239,0
20,225,131,239,0,253,130,239,0
21,248,158,239,0,278,56,239,0
22,269,119,239,0,286,142,239,0
23,304,122,239,0,311,155,239,0
24,321,136,239,0,307,174,239,0
25,321,153,239,0,363,136,599,0
26,343,185,239,0,360,149,599,0
27,385,179,239,0,371,131,435,0
28,333,176,435,0,411,158,435,0
29,316,157,239,0,423,157,687,165
30,323,136,435,0,445,164,435,0
31,305,131,239,0,484,170,599,0
32,344,134,239,0,501,126,795,0
33,319,137,239,0,512,175,435,0
34,277,92,239,0,448,167,435,0
35,271,73,239,0,553,199,732,91
36,272,104,239,0,547,192,599,0
37,290,123,239,0,521,176,959,0
38,273,101,239,0,504,195,599,0
39,269,98,239,0,488,185,795,0
40,289,123,239,0,514,166,599,0
41,271,74,239,0,519,197,599,0
42,299,97,239,0,502,168,599,0
43,323,128,239,0,520,134,435,0
44,316,157,239,0,506,187,435,0
45,346,153,239,0,511,185,599,0
46,364,149,239,0,544,172,489,0
47,321,110,435,0,504,157,599,0
48,326,129,239,0,557,180,599,0
49,308,140,239,0,516,146,795,0
50,324,134,239,0,497.4,133,795,0
